longitude,latitude,elevation,slope,dist_settlement
77.41231960899977,8.107295439178682,31,0.39861366,2000.0
77.45723537320573,8.107295439178682,27,0.36314785,1000.0
77.50215113741172,8.107295439178682,24,0.35962394,0.0
77.5470669016177,8.107295439178682,16,0.16702747,0.0
77.32248808058782,8.152211203384658,37,0.19615039,3162.2776601683795
77.36740384479378,8.152211203384658,32,0.1621011,2236.06797749979
77.41231960899977,8.152211203384658,42,0.22116113,1414.213562373095
77.45723537320573,8.152211203384658,22,0.33915207,1000.0
77.50215113741172,8.152211203384658,50,0.27510986,0.0
77.5470669016177,8.152211203384658,23,0.36429486,1000.0
77.59198266582366,8.152211203384658,14,0.18820497,1414.213562373095
77.23265655217585,8.197126967590634,41,0.4057339,5000.0
77.27757231638184,8.197126967590634,33,0.10483684,4000.0
77.32248808058782,8.197126967590634,40,0.1653042,3000.0
77.36740384479378,8.197126967590634,46,0.5836747,2000.0
77.41231960899977,8.197126967590634,60,1.9466966,1000.0
77.45723537320573,8.197126967590634,20,0.08695221,0.0
77.50215113741172,8.197126967590634,90,2.233834,0.0
77.5470669016177,8.197126967590634,82,1.9516983,1000.0
77.59198266582366,8.197126967590634,37,0.58101416,2000.0
77.63689843002965,8.197126967590634,27,0.2956963,2828.42712474619
77.68181419423561,8.197126967590634,29,0.14379162,3162.2776601683795
77.7267299584416,8.197126967590634,20,0.16622026,2236.06797749979
77.18774078796989,8.242042731796609,36,0.4657042,5000.0
77.23265655217585,8.242042731796609,80,0.10183636,5099.019513592784
77.27757231638184,8.242042731796609,53,0.2417318,4123.105625617661
77.32248808058782,8.242042731796609,58,1.1788749,3162.2776601683795
77.36740384479378,8.242042731796609,460,4.762541,2236.06797749979
77.41231960899977,8.242042731796609,611,3.7213311,1414.213562373095
77.45723537320573,8.242042731796609,74,0.614937,1000.0
77.50215113741172,8.242042731796609,101,2.0901134,1000.0
77.5470669016177,8.242042731796609,81,0.580426,1414.213562373095
77.59198266582366,8.242042731796609,64,0.41266948,2236.06797749979
77.63689843002965,8.242042731796609,55,0.18460074,3162.2776601683795
77.68181419423561,8.242042731796609,40,0.23091924,3000.0
77.7267299584416,8.242042731796609,30,0.20602281,2000.0
77.77164572264758,8.242042731796609,16,0.16129923,1000.0
77.1428250237639,8.286958496002585,30,0.36400712,3605.551275463989
77.18774078796989,8.286958496002585,43,0.28160682,4472.13595499958
77.23265655217585,8.286958496002585,60,0.37369734,5385.1648071345035
77.27757231638184,8.286958496002585,69,0.27353632,4472.13595499958
77.32248808058782,8.286958496002585,70,1.8796613,3605.551275463989
77.36740384479378,8.286958496002585,346,1.957878,2828.42712474619
77.41231960899977,8.286958496002585,296,4.893596,2236.06797749979
77.45723537320573,8.286958496002585,65,2.6289818,2000.0
77.50215113741172,8.286958496002585,355,2.969173,2000.0
77.5470669016177,8.286958496002585,132,3.2508006,2236.06797749979
77.59198266582366,8.286958496002585,79,0.6698683,2828.42712474619
77.63689843002965,8.286958496002585,63,0.21776569,3605.551275463989
77.68181419423561,8.286958496002585,49,0.18678254,3162.2776601683795
77.7267299584416,8.286958496002585,41,0.20537113,2236.06797749979
77.77164572264758,8.286958496002585,20,0.18308683,1414.213562373095
77.81656148685354,8.286958496002585,17,0.21910957,1000.0
77.86147725105953,8.286958496002585,35,0.12204031,1414.213562373095
77.05299349535196,8.331874260208561,46,0.5143607,1414.213562373095
77.09790925955792,8.331874260208561,32,0.24676238,2236.06797749979
77.1428250237639,8.331874260208561,47,0.24430116,3162.2776601683795
77.18774078796989,8.331874260208561,49,0.46792564,4123.105625617661
77.23265655217585,8.331874260208561,40,0.06903063,5099.019513592784
77.27757231638184,8.331874260208561,49,0.31969455,5000.0
77.32248808058782,8.331874260208561,84,0.8297172,4242.640687119285
77.36740384479378,8.331874260208561,122,1.4938394,3605.551275463989
77.41231960899977,8.331874260208561,85,0.056777574,3162.2776601683795
77.45723537320573,8.331874260208561,231,8.775851,3000.0
77.50215113741172,8.331874260208561,598,5.7902236,3000.0
77.5470669016177,8.331874260208561,118,1.3015245,3162.2776601683795
