longitude,latitude,ndvi_2006,ndvi_2007,ndvi_2008,ndvi_2009,ndvi_2010,ndvi_2011,ndvi_2013,ndvi_2014,ndvi_2015,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndvi_2026,ndvi_trend,ndvi_std,ndvi_min,n_loss_years,elevation,slope,dist_settlement,class,predict_mask
74.044,17.405,,,,0.23196541,,,0.27326,0.29501587,0.3374373,0.31157637,0.31031305,0.3209963,0.30140886,0.33700094,0.31513706,0.37392083,0.353872,0.27602687,0.35959288,0.3420653,0.005218516731234867,0.03604317756457597,0.23196541,12,709.0,1.0684458,1000.0,,0
74.044,17.45,,,,0.21018222,,,0.23384136,0.2871361,0.31064555,0.28916988,0.27387434,0.36358482,0.29482165,0.3487248,0.31080762,0.38313425,0.34759808,0.3025561,0.34892157,0.35853878,0.007860011240920096,0.047119824422389614,0.21018222,12,663.0,1.9219135,1414.213562373095,,0
74.044,17.495,,,0.20304672,0.29170382,,,0.36387146,0.40084863,0.45536786,0.4230167,0.41656956,0.42663756,0.39594597,0.46110117,0.4363253,0.48994723,0.4201728,0.44785723,0.4027704,0.43274027,0.009415543365548607,0.06757054660993468,0.20304672,2,645.0,0.55180115,1000.0,,0
74.044,17.54,,,0.22797483,0.24239263,,,0.26979953,0.3486352,0.40160334,0.3387805,0.31736183,0.4224623,0.36222282,0.3840619,0.3823166,0.42199892,0.40510115,0.38561386,0.40410084,0.4073773,0.009715580616827745,0.06079801771425202,0.22797483,6,649.0,0.9636683,1414.213562373095,,0
74.044,17.585,,,0.335448,0.3169066,,,0.37603807,0.38111195,0.4145225,0.3866236,0.39904356,0.4003526,0.38051152,0.43055847,0.41220924,0.4295358,0.41041237,0.417095,0.38268527,0.37877813,0.0037554025355315524,0.03011130751804223,0.3169066,2,630.0,0.75511974,2236.06797749979,,0
74.044,17.629,,,0.21396092,0.24236342,,,0.22314472,0.28755534,0.28864533,0.24805555,0.25048184,0.28383437,0.25418705,0.29753944,0.27503738,0.30703044,0.29513195,0.28099242,0.29510775,0.3085884,0.004218907652075043,0.02853035657981227,0.21396092,16,753.0,0.44491354,1414.213562373095,,0
74.044,17.674,,,0.2718256,0.29003102,,,0.3240988,0.4434387,0.45448536,0.43135202,0.38407677,0.4909114,0.3821881,0.43431544,0.3949762,0.4511347,0.41675043,0.45299074,0.4004366,0.4066365,0.006734290511654349,0.05908283436081519,0.2718256,3,670.0,1.4265963,1000.0,,0
74.044,17.719,,,0.29195818,0.28361928,,,0.3479701,0.43402076,0.40159023,0.4257286,0.37062874,0.39340204,0.40568432,0.40326282,0.44162562,0.4158944,0.42584354,0.44214785,0.37590238,0.3982826,0.006010701552018193,0.04639567146302887,0.28361928,3,649.0,0.13544932,1414.213562373095,,0
74.044,17.764,,,0.32967514,0.3300892,,,0.475736,0.5024313,0.4930378,0.46689892,0.44865134,0.47342944,0.42807126,0.45911828,0.47502223,0.49866453,0.47398242,0.44447502,0.44583592,0.4684342,0.0051208727345082436,0.04966535521882036,0.32967514,2,656.0,0.30470493,2236.06797749979,,0
74.044,17.809,,,0.32860404,0.360975,,,0.49532792,0.48725757,0.502331,0.4862369,0.46640283,0.47730646,0.44537583,0.45192707,0.46635932,0.50831556,0.42403284,0.44708407,0.4458025,0.46577466,0.003677792981807847,0.04716712385044087,0.32860404,1,685.0,1.3771942,2000.0,,0
74.044,17.854,,,0.21300216,0.22019115,,,0.24312979,0.29251033,0.32182992,0.26029572,0.27248377,0.2988173,0.27125555,0.3662748,0.33050686,0.3917112,0.34823975,0.28653815,0.33844602,0.33772153,0.007364129891984082,0.0500039480387094,0.21300216,14,850.0,1.7172575,2236.06797749979,,0
74.044,17.899,,,0.19343397,0.21548761,,,0.23989107,0.27673954,0.28294614,0.24338305,0.2505131,0.2765225,0.25807673,0.2872374,0.3175088,0.31731308,0.2909183,0.25768995,0.29172993,0.29008985,0.004810563530415009,0.03300177172841045,0.19343397,16,893.0,0.18607523,2828.42712474619,,0
74.044,17.944,,,0.1784641,0.21855639,0.34567526,0.5280784,0.24642517,0.46653485,0.35821652,0.3685644,0.30596882,0.47486958,0.3145788,0.4550401,0.4022679,0.43437913,0.39136675,0.31214425,0.37183365,0.37002093,0.0052566232519162,0.08930770802993733,0.1784641,7,908.0,1.7606974,3000.0,,0
74.044,17.989,,,0.14313549,0.18910378,0.25564408,0.33972993,0.18702544,0.35371172,0.34582028,0.29467565,0.32966217,0.40716037,0.24860053,0.4170428,0.33812502,0.40612134,0.3760602,0.23284619,0.36072388,0.3292956,0.007922813237608583,0.07928861738284601,0.14313549,12,931.0,0.13345729,3162.2776601683795,,0
74.044,18.034,,,0.12842603,0.13827662,0.14035623,0.17195232,0.14817558,0.18687226,0.21291399,0.17609613,0.18905464,0.2097598,0.18653221,0.23182109,0.2219778,0.2306558,0.22516464,0.20159447,0.2439698,0.2457514,0.00596821085845682,0.03627587915829391,0.12842603,18,683.0,2.3636005,3605.551275463989,,0
74.044,18.079,,,0.18359129,0.21920681,0.26027584,0.33472434,0.29181346,0.4342711,0.44461238,0.42352402,0.43930975,0.44523707,0.3988974,0.48035434,0.4048428,0.4592918,0.4268462,0.3960292,0.40256548,0.44413155,0.011438487046499742,0.08486891437183584,0.18359129,5,640.0,0.68766093,4000.0,,0
74.044,18.124,,,0.16577381,0.2444378,0.2712667,0.32680026,0.27743074,0.34251693,0.4026006,0.28511003,0.26556256,0.2687005,0.2694321,0.27985436,0.35954332,0.3178166,0.3269713,0.35540006,0.3491765,0.34259576,0.005430172526315789,0.05321179845959062,0.16577381,15,584.0,0.33463314,4123.105625617661,,0
74.044,18.168,,,0.13512,0.17839615,0.23460096,0.22307737,0.20009454,0.24302056,0.2459433,0.26007584,0.23470251,0.24934207,0.25845814,0.28924537,0.27144483,0.28918234,0.28872687,0.25741956,0.2655802,0.293741,0.0061361915533980575,0.04022429976133129,0.13512,18,640.0,0.88590974,4472.13595499958,,0
74.044,18.213,,,0.15797497,0.18256657,0.23333113,0.24652913,0.20514362,0.26271603,0.29921004,0.27916348,0.26228157,0.29213333,0.26753804,0.3209605,0.31527475,0.3059428,0.29067415,0.2758821,0.27010798,0.29570585,0.0060229463280531415,0.0437048477403739,0.15797497,18,768.0,1.785503,5000.0,,0
74.044,18.258,,,0.18175496,0.17543443,0.19292235,0.25629085,0.22911099,0.27621147,0.2975884,0.29986107,0.26769385,0.29418373,0.25806612,0.28249198,0.29330876,0.3127263,0.29587346,0.2934913,0.30323875,0.32635963,0.006762913232498721,0.04406536204340611,0.17543443,18,859.0,1.7268265,5000.0,,0
74.044,18.303,,,0.16575997,0.21316347,0.31796622,0.34156618,0.20229715,0.26842344,0.28397462,0.2565026,0.20751679,0.30860925,0.25023556,0.2817104,0.34813878,0.29645288,0.3134674,0.21998975,0.26922208,0.32830438,0.00329898744404701,0.05109420274530749,0.16575997,18,806.0,1.3404694,4000.0,,0
74.044,18.348,,,0.20558372,0.24102451,0.32807973,0.366144,0.22192621,0.3987265,0.3937063,0.38679984,0.3479181,0.44380555,0.3595341,0.45354706,0.47251835,0.42854965,0.4070427,0.35420555,0.37468103,0.418321,0.008970530205416452,0.07445719929404822,0.20558372,5,771.0,0.575392,3000.0,,0
74.044,18.393,,,0.14781474,0.150725,0.275281,0.3010862,0.21008426,0.22939752,0.24958985,0.23537803,0.18757266,0.22351584,0.19205832,0.27438948,0.30032986,0.28712133,0.3117984,0.22841795,0.26225278,0.3138174,0.004985688878896269,0.05052817773978953,0.14781474,18,807.0,0.7829773,2000.0,,0
74.044,18.438,,,0.14788316,0.16279106,0.21456578,0.2310249,0.170687,0.23765258,0.26431686,0.2469769,0.20145929,0.22589552,0.19908263,0.28872523,0.24049991,0.25362867,0.25806198,0.21145941,0.24103291,0.25878042,0.00402363814920797,0.03660739667488696,0.14788316,18,657.0,2.7260342,1000.0,,0
74.044,18.483,,,0.37353143,0.4248828,0.41858357,0.43772626,0.4638175,0.51995975,0.5367299,0.49735594,0.54039663,0.53544784,0.50134254,0.51122785,0.514605,0.48233837,0.49566355,0.487332,0.45381695,0.48733804,0.004100110195196728,0.04447633738074783,0.37353143,0,545.0,0.3379417,0.0,,0
74.044,18.528,,,0.23641409,0.3085394,0.28538117,0.30876353,0.32578704,0.3537567,0.35797617,0.33604848,0.3141756,0.27801672,0.2827678,0.3375271,0.35486317,0.31245783,0.31260192,0.3203069,0.31585446,0.32732233,0.0018231072284108324,0.02956989485653963,0.23641409,15,538.0,0.054486435,1000.0,,0
74.044,18.573,,,0.21146491,0.22529924,0.24388188,0.32683986,0.2215182,0.2751653,0.28091386,0.3037035,0.28562796,0.2522252,0.23929766,0.2818859,0.3169029,0.28713974,0.28366578,0.2783797,0.29357764,0.28214967,0.002776407327542155,0.03163952405374964,0.21146491,18,597.0,0.47613087,2000.0,,0
74.044,18.618,,,0.1443375,0.18610147,0.23285437,0.2858558,0.17654818,0.32321805,0.29586634,0.32110325,0.31073445,0.34432143,0.25549605,0.3571314,0.26935613,0.38403326,0.34870005,0.30190888,0.27211234,0.32991725,0.00759127588553909,0.06401383132246642,0.1443375,16,569.0,0.56274885,2828.42712474619,,0
74.044,18.663,,,0.27230954,0.3118404,0.3731658,0.388076,0.3821664,0.43085456,0.40669048,0.42300025,0.41241866,0.40043014,0.40632713,0.40910056,0.4390635,0.44337884,0.41136435,0.42225832,0.40907848,0.40393543,0.005181993974450689,0.04151653354125909,0.27230954,2,557.0,0.15776116,3605.551275463989,,0
74.044,18.707,,,0.24459372,0.2689579,0.35767752,0.36422047,0.36096045,0.4262822,0.42589268,0.41671512,0.40894783,0.4352253,0.36806667,0.44098064,0.46322447,0.4728695,0.44167167,0.44516712,0.42481253,0.42746624,0.008631027193663768,0.060567217557765014,0.24459372,2,594.0,0.6694583,4123.105625617661,,0
74.044,18.752,,,0.14769779,0.16752125,0.19842857,0.2380587,0.19832696,0.2501956,0.25781155,0.2619468,0.23609442,0.2594123,0.21161896,0.27773792,0.26908568,0.2803755,0.28959313,0.28232545,0.29759964,0.3038386,0.006962865046499744,0.04361586354312014,0.14769779,18,663.0,0.24794856,3605.551275463989,,0
74.044,18.797,,,0.21160129,0.2218879,0.2681445,0.29561514,0.20258325,0.29989952,0.30618772,0.30055273,0.30178756,0.34360734,0.19765888,0.379909,0.38366637,0.3178436,0.3313283,0.264,0.34318176,0.34364736,0.00597439424220746,0.055871165851416216,0.19765888,16,647.0,0.4313174,3162.2776601683795,,0
74.044,18.842,,,0.16310325,0.18133034,0.26292244,0.33441964,0.17993233,0.28699517,0.2729089,0.29051805,0.26469412,0.3128279,0.18204254,0.32983544,0.34137672,0.27814898,0.31568095,0.26567456,0.29509187,0.30907363,0.0051221393490035756,0.05523651310834885,0.16310325,18,691.0,0.84103596,3000.0,,0
74.044,18.887,,,0.1330447,0.18524633,0.21674366,0.24134296,0.21147107,0.25119478,0.24728642,0.27307427,0.20810792,0.22248888,0.22226411,0.23986106,0.24108592,0.23628993,0.2666052,0.23748834,0.2607469,0.26603305,0.0038764916423096566,0.03259711716317931,0.1330447,18,787.0,0.6059197,2000.0,,0
74.044,18.932,,,0.15383466,0.17543672,0.2754486,0.25929537,0.18631469,0.2651709,0.25641567,0.24850062,0.23926824,0.2923142,0.2020137,0.2900521,0.340567,0.25573784,0.30763853,0.29151538,0.2642543,0.2907568,0.005471665549310168,0.047335815287888106,0.15383466,18,771.0,1.3848743,1000.0,,0
74.044,18.977,,,0.33112425,0.3691265,0.35684887,0.38049957,0.41055626,0.4880018,0.47508416,0.4628199,0.4667712,0.45068064,0.4403867,0.4936129,0.49585965,0.46957666,0.4542374,0.4604009,0.44917783,0.41916695,0.005587227110884005,0.047710782359580615,0.33112425,1,621.0,0.77528876,0.0,,0
74.044,19.022,,,0.19487154,0.29862064,0.29784006,0.31060526,0.25021958,0.3853825,0.39418653,0.37328678,0.43162358,0.39972654,0.34875062,0.44709578,0.44478756,0.4372401,0.4338501,0.4553711,0.4629482,0.40239578,0.011459446257537044,0.0750061605558963,0.19487154,6,642.0,0.53847504,1000.0,,0
74.044,19.067,,,0.2981986,0.31502292,0.39855012,0.4294199,0.3870558,0.4984064,0.469968,0.4559178,0.45664877,0.45970595,0.4222506,0.5099191,0.49001232,0.4616649,0.46398902,0.45904642,0.44394153,0.4486582,0.006426940070516094,0.05509754145784421,0.2981986,2,638.0,0.35761198,2000.0,,0
74.044,19.112,,,0.20906663,0.23114015,0.29163834,0.3182361,0.25877854,0.35662085,0.3758081,0.35557356,0.37375927,0.3328758,0.33298013,0.42232722,0.40204903,0.3315799,0.34444034,0.35545218,0.34995687,0.3573864,0.006516618169647418,0.05374757721870786,0.20906663,10,677.0,0.28795165,1414.213562373095,,0
74.044,19.157,,,0.206296,0.18179011,0.24250756,0.27487624,0.25409502,0.34778178,0.35266793,0.31322756,0.292283,0.33942354,0.29886234,0.34147453,0.3902047,0.3546401,0.329163,0.34881642,0.3287121,0.31116027,0.007130730158405723,0.05375982950247629,0.18179011,15,641.0,0.22028847,1000.0,,0
74.044,19.201,,,0.25200987,0.2949966,0.38767812,0.41945177,0.3734405,0.50175124,0.50511897,0.4777459,0.49238458,0.5293627,0.4276463,0.4964261,0.52765393,0.50471944,0.496759,0.515542,0.4850954,0.47558004,0.010384921557485945,0.07757086030937312,0.25200987,2,677.0,1.0753766,1414.213562373095,,0
74.044,19.246,,,0.1633671,0.21429291,0.24595511,0.27358115,0.23677653,0.29560608,0.3045995,0.27376384,0.29199818,0.33573347,0.26449904,0.27310804,0.33424583,0.32581624,0.30992794,0.3169869,0.3432436,0.3302472,0.006909390387327542,0.04640188352812953,0.1633671,18,753.0,2.658727,2236.06797749979,,0
74.044,19.291,,,0.15977138,0.18628594,0.23320518,0.26858032,0.21102245,0.2794995,0.3171997,0.24343047,0.2526129,0.27497163,0.21261688,0.28523424,0.2926839,0.28219128,0.2807524,0.28138024,0.28393045,0.2654828,0.004487043260091977,0.039820926241357794,0.15977138,18,862.0,0.5811757,3162.2776601683795,,0
